Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
NA,NA,ERR737542,SAMEA2664340,MPROS1744,NA,22,NA,0.25,6,NA,NA,74,MPROS1744,ERS512351,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737542/ERR737542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737542/ERR737542_2.fastq.gz,2015
NA,NA,ERR774765,SAMEA2664973,MPROS2298,NA,22,NA,2,24,NA,NA,80,MPROS2298,ERS512984,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774765/ERR774765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR774/ERR774765/ERR774765_2.fastq.gz,2015
NA,NA,ERR737023,SAMEA2663776,MPROS1144,NA,30,NA,0.032,4,NA,NA,147,MPROS1144,ERS511787,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737023/ERR737023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737023/ERR737023_2.fastq.gz,2015
NA,NA,ERR737141,SAMEA2664060,MPROS1425,NA,30,NA,0.047,16,NA,NA,151,MPROS1425,ERS512071,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737141/ERR737141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737141/ERR737141_2.fastq.gz,2015
NA,NA,ERR737266,SAMEA2664254,MPROS1547,NA,30,NA,0.064,12,NA,NA,165,MPROS1547,ERS512265,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737266/ERR737266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737266/ERR737266_2.fastq.gz,2015
NA,NA,ERR737285,SAMEA2664067,MPROS1567,NA,30,NA,0.064,16,NA,NA,168,MPROS1567,ERS512078,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737285/ERR737285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737285/ERR737285_2.fastq.gz,2015
NA,NA,ERR737373,SAMEA2664284,MPROS1670,NA,30,NA,0.094,12,NA,NA,174,MPROS1670,ERS512295,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737373/ERR737373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737373/ERR737373_2.fastq.gz,2015
NA,NA,ERR715345,SAMEA2664883,MPROS2437,NA,45,NA,0.094,12,NA,NA,136,MPROS2437,ERS512894,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715345/ERR715345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715345/ERR715345_2.fastq.gz,2015
NA,NA,ERR714769,SAMEA2043034,MPROS912,NA,45,NA,0.094,12,NA,NA,159,MPROS0912,ERS197890,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714769/ERR714769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714769/ERR714769_2.fastq.gz,2015
NA,NA,ERR737349,SAMEA2664245,MPROS1646,NA,45,NA,0.032,3,NA,NA,171,MPROS1646,ERS512256,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737349/ERR737349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737349/ERR737349_2.fastq.gz,2015
NA,NA,ERR737448,SAMEA2663953,MPROS1157,NA,45,NA,0.016,3,NA,NA,175,MPROS1157,ERS511964,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737448/ERR737448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737448/ERR737448_2.fastq.gz,2015
NA,NA,ERR294319,SAMEA1904146,45_164,NA,45,NA,0.19,12,NA,NA,295,m-45-164,ERS208617,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR294/ERR294319/ERR294319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR294/ERR294319/ERR294319_2.fastq.gz,2012-2013
NA,NA,ERR714795,SAMEA2041872,MPROS938,NA,59,NA,0.015,0.047,NA,NA,103,MPROS0938,ERS197920,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714795/ERR714795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714795/ERR714795_2.fastq.gz,2015
NA,NA,ERR715014,SAMEA2041688,MPROS989,NA,59,NA,0.023,2,NA,NA,119,MPROS0989,ERS197963,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715014/ERR715014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715014/ERR715014_2.fastq.gz,2015
NA,NA,ERR737222,SAMEA2664145,MPROS1491,NA,59,NA,0.047,2,NA,NA,160,MPROS1491,ERS512156,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737222/ERR737222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737222/ERR737222_2.fastq.gz,2015
NA,NA,ERR737254,SAMEA2664230,MPROS1535,NA,59,NA,0.064,4,NA,NA,163,MPROS1535,ERS512241,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737254/ERR737254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737254/ERR737254_2.fastq.gz,2015
NA,NA,ERR211938,SAMEA1568590,MPROS0126,NA,59,NA,0.047,3,NA,NA,202,MPROS0126,ERS158670,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211938/ERR211938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/ERR211938/ERR211938_2.fastq.gz,2012-2013
NA,NA,ERR737154,SAMEA2664094,MPROS1440,NA,72,NA,0.38,16,NA,NA,154,MPROS1440,ERS512105,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737154/ERR737154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737154/ERR737154_2.fastq.gz,2015
NA,NA,ERR737571,SAMEA2664484,MPROS2171,NA,72,NA,1,16,NA,NA,183,MPROS2171,ERS512495,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737571/ERR737571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737571/ERR737571_2.fastq.gz,2015
NA,NA,ERR702178,SAMEA2664785,MPROS2062,NA,80,NA,0.032,0.19,NA,NA,93,MPROS2062,ERS512796,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702178/ERR702178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR702/ERR702178/ERR702178_2.fastq.gz,2015
NA,NA,ERR737156,SAMEA2664099,MPROS1442,NA,80,NA,0.064,3,NA,NA,102,MPROS1442,ERS512110,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737156/ERR737156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737156/ERR737156_2.fastq.gz,2015
NA,NA,ERR715128,SAMEA2664424,MPROS1816,NA,80,NA,0.064,4,NA,NA,137,MPROS1816,ERS512435,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715128/ERR715128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715128/ERR715128_2.fastq.gz,2015
NA,NA,ERR204182,SAMEA1572433,MPROS0230,NA,80,NA,0.125,8,NA,NA,196,MPROS0230,ERS163127,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204182/ERR204182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204182/ERR204182_2.fastq.gz,2012-2013
NA,NA,ERR204229,SAMEA1572272,MPROS0279,NA,80,NA,0.064,3,NA,NA,208,MPROS0279,ERS163174,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204229/ERR204229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR204/ERR204229/ERR204229_2.fastq.gz,2012-2013
NA,NA,ERR355929,SAMEA1572334,MPROS0196,NA,88,NA,0.19,8,NA,NA,219,MPROS0196,ERS163095,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355929/ERR355929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/ERR355929/ERR355929_2.fastq.gz,2012-2013
NA,NA,ERR715294,SAMEA2664882,MPROS2151,NA,97,NA,0.125,6,NA,NA,134,MPROS2151,ERS512893,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715294/ERR715294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715294/ERR715294_2.fastq.gz,2015
NA,NA,ERR714006,SAMEA2675661,EOE0282,NA,97,NA,0.032,0.064,NA,NA,141,EOE0282,ERS515685,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714006/ERR714006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714006/ERR714006_2.fastq.gz,2015
NA,NA,ERR714061,SAMEA2675716,EOE291_A,NA,97,NA,0.125,12,NA,NA,143,EOE291_A,ERS515740,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714061/ERR714061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714061/ERR714061_2.fastq.gz,2015
NA,NA,ERR714062,SAMEA2675717,EOE291_B,NA,97,NA,0.094,0.125,NA,NA,144,EOE291_B,ERS515741,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714062/ERR714062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714062/ERR714062_2.fastq.gz,2015
NA,NA,ERR737075,SAMEA2663939,MPROS1338,NA,97,NA,0.38,16,NA,NA,148,MPROS1338,ERS511950,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737075/ERR737075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737075/ERR737075_2.fastq.gz,2015
NA,NA,ERR701991,SAMEA2041052,MPROS0617,NA,361,NA,0.125,16,NA,NA,83,MPROS0617,ERS197732,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701991/ERR701991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR701/ERR701991/ERR701991_2.fastq.gz,2015
NA,NA,ERR737458,SAMEA2663982,MPROS1169,NA,152,NA,0.125,4,NA,NA,177,MPROS1169,ERS511993,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737458/ERR737458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737458/ERR737458_2.fastq.gz,2015
NA,NA,ERR737536,SAMEA2664325,MPROS1483,NA,361,NA,0.023,2,NA,NA,180,MPROS1483,ERS512336,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737536/ERR737536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737536/ERR737536_2.fastq.gz,2015
NA,NA,ERR212895,SAMEA1572389,MPROS0337,NA,779,NA,0.032,6,NA,NA,195,MPROS0337,ERS163236,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212895/ERR212895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/ERR212895/ERR212895_2.fastq.gz,2012-2013
NA,NA,ERR246614,SAMEA1708781,BSAR907,NA,398,NA,0.38,16,NA,NA,296,GKP136-53,ERS189615,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR246/ERR246614/ERR246614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR246/ERR246614/ERR246614_2.fastq.gz,2012-2013
NA,NA,ERR246586,SAMEA1708949,BSAR879,NA,398,NA,0.25,16,NA,NA,297,m-38-53,ERS189587,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR246/ERR246586/ERR246586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR246/ERR246586/ERR246586_2.fastq.gz,2012-2013
